,tweet_id,creation_date,text,media_url
0,1639022301973970944,Thu Mar 23 21:52:23 +0000 2023,"To get Blue Verified for $7/month, sign up via web browser at https://t.co/Z64Uj8Gvcn",null
1,1639017080971476992,Thu Mar 23 21:31:38 +0000 2023,Twitter Verified now available worldwide!,null
2,1638692986014900225,Thu Mar 23 00:03:47 +0000 2023,Starlink is now available in Haiti → https://t.co/slZbTmYOKV,null
3,1638382030835830784,Wed Mar 22 03:28:10 +0000 2023,"And if you have enough rooftop solar, you can go off grid for most of year in high latitudes &amp; whole year in low latitudes",null
4,1638381090368012289,Wed Mar 22 03:24:26 +0000 2023,Tesla Powerwall enables your home to operate normally during a power outage\nhttps://t.co/tEE4LDCaWG,null
5,1638255718540165121,Tue Mar 21 19:06:15 +0000 2023,"We recently partnered with @Sprinklr for an independent assessment of hate speech on Twitter, which we’ve been sharing data on publicly for several months.\n\nSprinklr’s AI-powered model found that the reach of hate speech on Twitter is even lower than our own model quantified 🧵",null
6,1637992716679127042,Tue Mar 21 01:41:10 +0000 2023,Follow @HelpfulNotes to read highly rated @CommunityNotes,null
7,1637942606020890624,Mon Mar 20 22:22:03 +0000 2023,View from the second stage following last week's launch of SES-18 and SES-19 to a geosynchronous transfer orbit https://t.co/GbSbq6ob2m,null
8,1637872831504457743,Mon Mar 20 17:44:47 +0000 2023,https://t.co/gZG7ZSnbCl,null
9,1637872698503077901,Mon Mar 20 17:44:16 +0000 2023,https://t.co/6LaLFNxZ9T,"[""https://pbs.twimg.com/media/FrrkiXNWIBYmxvK.jpg""]"
10,1637577467819970560,Sun Mar 19 22:11:07 +0000 2023,https://t.co/nhnFAAO9iO,"[""https://pbs.twimg.com/media/FrnYBq_WAAAknjj.jpg""]"
11,1637515081872293888,Sun Mar 19 18:03:13 +0000 2023,Cappuccino/latte art is delightful,null
12,1637511926925127680,Sun Mar 19 17:50:41 +0000 2023,A latte is really just an excuse for adults to order warm milk without sounding like a baby,null
13,1637420728743088130,Sun Mar 19 11:48:18 +0000 2023,press@twitter.com now auto responds with 💩,null
14,1637399363503681536,Sun Mar 19 10:23:24 +0000 2023,https://t.co/mZu9UEmFOB,"[""https://pbs.twimg.com/media/Frk2CrHXsAEQr8P.jpg""]"
15,1637398266575740929,Sun Mar 19 10:19:02 +0000 2023,https://t.co/YTKTkGvrVA,"[""https://pbs.twimg.com/media/Frk1C1VWAAEMpLL.jpg""]"
16,1637331821439463425,Sun Mar 19 05:55:01 +0000 2023,en tro py … en tro py … no escaping that for me,null
